PROBE_ID_REF,GENE_IDENTIFIER,GSM12587,GSM12588,GSM12589,GSM12590,GSM12591,GSM12592,GSM12593,GSM12594,GSM12595,GSM12596,GSM12597,GSM12598,GSM12599,GSM12600,GSM12601,GSM12602,GSM12603,GSM12604,GSM12605,GSM12606
AF002224_at,UBE3A,31.6,37.6,23.6,43.3,23.3,87.3,83.7,63.7,43.1,85.2,57.3,34.2,75,65,29,152.7,198.8,69.3,23.1,38.3
AF002700_at,GFRA2,66.7,56.6,91.4,51.3,25.8,28.3,90.4,69.4,42.2,57.7,151.8,117.2,74.5,57.6,24,16.5,146.2,50.3,52.8,51
AF003743_at,KCNQ1,35.2,43,28.1,24.6,54.2,24.9,32.4,23.6,23.1,28.7,79.5,21.8,23.6,131,25.7,20,39.4,39.8,22.6,34.7
AF005037_at,SCAMP1,27.1,47,9.7,72.5,55.1,59.4,88.3,99,36.1,12.5,67.6,33.5,12.9,63.6,60.1,75.2,80.9,94.4,57.5,112.6
AF005043_at,PARG,77,36.9,61.1,7.4,63.2,46.8,39,46.1,46.1,25.6,35.3,24.4,79.3,45.1,74.2,50.2,83.1,82.1,67.2,51
AF005361_at,KPNA5,4.1,7.5,4.5,4.4,13.1,19.2,11.5,6.6,14.9,2.9,4.1,12,6,3.6,20.7,9.8,13,6.4,17.4,3.7
AF005775_at,CFLAR,401.1,210,447,288.3,390.4,367.2,663.6,452.3,222.8,246.3,298.6,322.2,239.5,328.5,308.4,200.6,275.7,284.3,416.3,480
AF005887_at,ATF6,267.9,141.8,147.3,198.2,209.1,197.7,188.9,201.4,139.5,149.9,266,227.6,174.7,273.9,210.9,153.6,173.6,198,191.8,228.9
AF006041_at,DAXX,1109.3,439.7,1213.9,1149,1353.3,1207.9,1127.8,1354.4,1255.4,543.7,788.7,1202.4,1019.1,810.6,1165.6,1058.3,969.8,1280.3,1124.9,1369.6
AF006084_at,ARPC1B,6523.2,4101.2,4540.5,3927.4,5077.5,5496.8,6908.8,6431.5,4851.3,6109.9,8411.7,6833.3,4230.2,6753.1,4063,2687.8,4536.9,3571.8,3471.1,6099
AF006087_at,ARPC4,905.8,891.7,407.8,1210.8,789,1176.5,1088.8,1360,1141.7,2495.3,1768.9,251.3,363,2543.6,589.7,568,819.7,956.9,574.6,1765.3
AF006609_at,RGS3,13.8,43.6,10.4,14.3,57.8,42.2,42.7,31.5,10.8,58.1,8.4,38,68.7,39.8,14.8,12.9,23.2,23.4,12.8,18.5
AF007111_at,MDM4,27,103.4,17.3,15.6,32.8,33.1,16.9,12.9,35.5,46.4,5.7,80.4,35.7,65.6,46.4,36.7,85.2,86.2,54.7,63
AF007551_at,BET1,90.1,53.6,78.2,98.6,94.7,179.2,112.8,230.2,114.1,25.1,62.8,124.1,70.5,70,159.5,61.5,190.3,223.8,138.8,172.8
